GeneA GeneB Genus spp relationship
Potri.008G074100 SapurV1A.0673s0070 S. purpurea one-to-one
Potri.016G015400 SapurV1A.0398s0240 S. purpurea one-to-one
Potri.010G094700 SapurV1A.0062s0180 S. purpurea one-to-one
Potri.001G157900 SapurV1A.0210s0090 S. purpurea one-to-one
Potri.001G107200 SapurV1A.0507s0050 S. purpurea one-to-one
Potri.007G093200 SapurV1A.0039s0010 S. purpurea one-to-one
Potri.007G034400 SapurV1A.0393s0250 S. purpurea one-to-one
Potri.002G103800 SapurV1A.1239s0020 S. purpurea one-to-one
Potri.001G311000 SapurV1A.0231s0170 S. purpurea one-to-one
Potri.001G329300 SapurV1A.0278s0300 S. purpurea one-to-one
Potri.005G133800 SapurV1A.0520s0020 S. purpurea many-to-many
Potri.005G133800 SapurV1A.0520s0060 S. purpurea many-to-many
Potri.005G133700 SapurV1A.0520s0020 S. purpurea many-to-many
Potri.005G133700 SapurV1A.0520s0060 S. purpurea many-to-many
Potri.005G133600 SapurV1A.0520s0020 S. purpurea many-to-many
Potri.005G133600 SapurV1A.0520s0060 S. purpurea many-to-many
Potri.014G054900 SapurV1A.0490s0230 S. purpurea one-to-many
Potri.014G054900 SapurV1A.0490s0190 S. purpurea one-to-many
Potri.001G408200 SapurV1A.2548s0020 S. purpurea one-to-many
Potri.001G408200 SapurV1A.1501s0040 S. purpurea one-to-many
Potri.019G130300 SapurV1A.0215s0260 S. purpurea one-to-one
Potri.009G064500 SapurV1A.0027s0110 S. purpurea one-to-one
Potri.010G068300 SapurV1A.0195s0120 S. purpurea one-to-one
Potri.002G099500 SapurV1A.0239s0280 S. purpurea one-to-one
Potri.017G113300 SapurV1A.0879s0090 S. purpurea one-to-one
Potri.004G206300 SapurV1A.0125s0450 S. purpurea one-to-one
Potri.014G055700 SapurV1A.0490s0260 S. purpurea one-to-one
Potri.018G132600 SapurV1A.0034s0720 S. purpurea one-to-one
Potri.003G164200 SapurV1A.0499s0020 S. purpurea one-to-one
Potri.008G059100 SapurV1A.0214s0310 S. purpurea one-to-one
Potri.008G059000 SapurV1A.0214s0320 S. purpurea one-to-one
Potri.018G141000 SapurV1A.0140s0290 S. purpurea one-to-one
Potri.001G073700 SapurV1A.0236s0250 S. purpurea one-to-one
Potri.001G019600 SapurV1A.0445s0190 S. purpurea one-to-one
Potri.007G039700 SapurV1A.0811s0050 S. purpurea one-to-one
Potri.001G304800 SapurV1A.0005s1130 S. purpurea one-to-one
Potri.T032800 SapurV1A.0157s0120 S. purpurea many-to-many
Potri.T032800 SapurV1A.0157s0070 S. purpurea many-to-many
Potri.T032800 SapurV1A.0897s0050 S. purpurea many-to-many
Potri.T032800 SapurV1A.3219s0010 S. purpurea many-to-many
Potri.T032800 SapurV1A.0897s0070 S. purpurea many-to-many
Potri.T032800 SapurV1A.1489s0020 S. purpurea many-to-many
Potri.T009400 SapurV1A.0157s0120 S. purpurea many-to-many
Potri.T009400 SapurV1A.0157s0070 S. purpurea many-to-many
Potri.T009400 SapurV1A.0897s0050 S. purpurea many-to-many
Potri.T009400 SapurV1A.3219s0010 S. purpurea many-to-many
Potri.T009400 SapurV1A.0897s0070 S. purpurea many-to-many
Potri.T009400 SapurV1A.1489s0020 S. purpurea many-to-many
Potri.T032600 SapurV1A.0157s0120 S. purpurea many-to-many
Potri.T032600 SapurV1A.0157s0070 S. purpurea many-to-many
Potri.T032600 SapurV1A.0897s0050 S. purpurea many-to-many
Potri.T032600 SapurV1A.3219s0010 S. purpurea many-to-many
Potri.T032600 SapurV1A.0897s0070 S. purpurea many-to-many
Potri.T032600 SapurV1A.1489s0020 S. purpurea many-to-many
Potri.007G096300 SapurV1A.1859s0040 S. purpurea one-to-many
Potri.007G096300 SapurV1A.2412s0030 S. purpurea one-to-many
Potri.007G096300 SapurV1A.0039s0260 S. purpurea one-to-many
Potri.010G111300 SapurV1A.2168s0020 S. purpurea one-to-many
Potri.010G111300 SapurV1A.0351s0210 S. purpurea one-to-many
Potri.005G077100 SapurV1A.0684s0140 S. purpurea one-to-many
Potri.005G077100 SapurV1A.0403s0010 S. purpurea one-to-many
Potri.001G079900 SapurV1A.1065s0020 S. purpurea one-to-many
Potri.001G079900 SapurV1A.0094s0620 S. purpurea one-to-many
Potri.010G075900 SapurV1A.0007s0640 S. purpurea one-to-one
Potri.001G079300 SapurV1A.1065s0060 S. purpurea one-to-one
Potri.010G142400 SapurV1A.0050s0590 S. purpurea one-to-one
Potri.010G246800 SapurV1A.0036s0800 S. purpurea one-to-one
Potri.006G281100 SapurV1A.0263s0040 S. purpurea one-to-one
Potri.006G053200 SapurV1A.0133s0440 S. purpurea one-to-one
Potri.006G089700 SapurV1A.0001s1450 S. purpurea one-to-one
Potri.006G232800 SapurV1A.1207s0050 S. purpurea one-to-one
Potri.006G242000 SapurV1A.0446s0250 S. purpurea one-to-one
Potri.006G178900 SapurV1A.1155s0040 S. purpurea one-to-one
Potri.006G060500 SapurV1A.0306s0210 S. purpurea one-to-one
Potri.002G055700 SapurV1A.0289s0080 S. purpurea one-to-one
Potri.007G137200 SapurV1A.0118s0250 S. purpurea one-to-one
Potri.004G197200 SapurV1A.0615s0160 S. purpurea one-to-one
Potri.004G135600 SapurV1A.0185s0060 S. purpurea one-to-one
Potri.002G241700 SapurV1A.0135s0210 S. purpurea one-to-one
Potri.014G150100 SapurV1A.0529s0020 S. purpurea one-to-one
Potri.014G059300 SapurV1A.0382s0270 S. purpurea one-to-one
Potri.003G083500 SapurV1A.0107s0190 S. purpurea one-to-one
Potri.015G080100 SapurV1A.0011s0360 S. purpurea one-to-one
Potri.015G013300 SapurV1A.0524s0120 S. purpurea one-to-one
Potri.016G123700 SapurV1A.0632s0090 S. purpurea one-to-one
Potri.013G006500 SapurV1A.0088s0140 S. purpurea one-to-one
Potri.014G052800 SapurV1A.2187s0020 S. purpurea one-to-many
Potri.014G052800 SapurV1A.0490s0020 S. purpurea one-to-many
Potri.008G211300 SapurV1A.0700s0020 S. purpurea one-to-one
Potri.007G025600 SapurV1A.1249s0080 S. purpurea one-to-one
Potri.001G275300 SapurV1A.1149s0040 S. purpurea one-to-one
Potri.001G384600 SapurV1A.0020s0710 S. purpurea one-to-one
Potri.004G136000 SapurV1A.0185s0010 S. purpurea many-to-one
Potri.004G136900 SapurV1A.0185s0010 S. purpurea many-to-one
Potri.004G136700 SapurV1A.0185s0010 S. purpurea many-to-one
Potri.004G136600 SapurV1A.0185s0010 S. purpurea many-to-one
Potri.006G145300 SapurV1A.1588s0040 S. purpurea one-to-many
Potri.006G145300 SapurV1A.3036s0020 S. purpurea one-to-many
Potri.009G122500 SapurV1A.0379s0020 S. purpurea one-to-one
Potri.009G025500 SapurV1A.0489s0050 S. purpurea one-to-one
Potri.004G229600 SapurV1A.0225s0050 S. purpurea one-to-one
Potri.006G216300 SapurV1A.0057s0480 S. purpurea one-to-one
Potri.004G153500 SapurV1A.0349s0100 S. purpurea one-to-one
Potri.006G133500 SapurV1A.0249s0300 S. purpurea one-to-one
Potri.018G037700 SapurV1A.0283s0160 S. purpurea one-to-one
Potri.008G166500 SapurV1A.0021s0960 S. purpurea one-to-one
Potri.008G168400 SapurV1A.0021s0790 S. purpurea one-to-one
Potri.003G180600 SapurV1A.0835s0110 S. purpurea one-to-one
Potri.016G013100 SapurV1A.0398s0070 S. purpurea one-to-one
Potri.001G288200 SapurV1A.0279s0100 S. purpurea one-to-one
Potri.005G017400 SapurV1A.0606s0110 S. purpurea one-to-one
Potri.001G463800 SapurV1A.0742s0120 S. purpurea one-to-one
Potri.012G081900 SapurV1A.0421s0090 S. purpurea one-to-one
Potri.008G128800 SapurV1A.0163s0100 S. purpurea one-to-one
Potri.018G013200 SapurV1A.1126s0050 S. purpurea one-to-many
Potri.018G013200 SapurV1A.0314s0330 S. purpurea one-to-many
Potri.013G151500 SapurV1A.1118s0110 S. purpurea one-to-many
Potri.013G151500 SapurV1A.2928s0020 S. purpurea one-to-many
Potri.013G151500 SapurV1A.2928s0010 S. purpurea one-to-many
Potri.013G151500 SapurV1A.2928s0030 S. purpurea one-to-many
Potri.013G151500 SapurV1A.4071s0010 S. purpurea one-to-many
Potri.007G103400 SapurV1A.0171s0200 S. purpurea one-to-many
Potri.007G103400 SapurV1A.0171s0230 S. purpurea one-to-many
Potri.007G103400 SapurV1A.8620s0010 S. purpurea one-to-many
Potri.009G006000 SapurV1A.0049s0020 S. purpurea one-to-many
Potri.009G006000 SapurV1A.1382s0020 S. purpurea one-to-many
Potri.T156000 SapurV1A.0288s0020 S. purpurea many-to-one
Potri.009G005400 SapurV1A.0288s0020 S. purpurea many-to-one
Potri.011G040100 SapurV1A.0387s0040 S. purpurea many-to-one
Potri.T144700 SapurV1A.0387s0040 S. purpurea many-to-one
Potri.002G098100 SapurV1A.3070s0010 S. purpurea one-to-many
Potri.002G098100 SapurV1A.0239s0160 S. purpurea one-to-many
Potri.013G059600 SapurV1A.1928s0030 S. purpurea one-to-many
Potri.013G059600 SapurV1A.0680s0040 S. purpurea one-to-many
Potri.009G068300 SapurV1A.1430s0070 S. purpurea one-to-one
Potri.010G237400 SapurV1A.0036s0060 S. purpurea one-to-one
Potri.011G126200 SapurV1A.0495s0030 S. purpurea one-to-one
Potri.003G129000 SapurV1A.0790s0050 S. purpurea one-to-one
Potri.011G149200 SapurV1A.0666s0050 S. purpurea one-to-one
Potri.006G170500 SapurV1A.0818s0040 S. purpurea one-to-one
Potri.006G204900 SapurV1A.0510s0200 S. purpurea one-to-one
Potri.002G257700 SapurV1A.0252s0380 S. purpurea one-to-one
Potri.018G123800 SapurV1A.0034s0060 S. purpurea one-to-one
Potri.008G199200 SapurV1A.0407s0240 S. purpurea one-to-one
Potri.008G111700 SapurV1A.0060s0470 S. purpurea one-to-one
Potri.005G224100 SapurV1A.0233s0280 S. purpurea one-to-one
Potri.008G141800 SapurV1A.0015s0940 S. purpurea one-to-one
Potri.001G159200 SapurV1A.0210s0200 S. purpurea one-to-one
Potri.015G123800 SapurV1A.4036s0010 S. purpurea one-to-many
Potri.015G123800 SapurV1A.1364s0010 S. purpurea one-to-many
Potri.015G123800 SapurV1A.2048s0020 S. purpurea one-to-many
Potri.015G123800 SapurV1A.0367s0380 S. purpurea one-to-many
Potri.015G123800 SapurV1A.1293s0070 S. purpurea one-to-many
Potri.015G123800 SapurV1A.1293s0050 S. purpurea one-to-many
Potri.015G123800 SapurV1A.0367s0390 S. purpurea one-to-many
Potri.001G151300 SapurV1A.0201s0180 S. purpurea one-to-one
Potri.005G126200 SapurV1A.1013s0040 S. purpurea one-to-one
Potri.012G076100 SapurV1A.2599s0010 S. purpurea one-to-one
Potri.018G140300 SapurV1A.2197s0030 S. purpurea one-to-many
Potri.018G140300 SapurV1A.0140s0360 S. purpurea one-to-many
Potri.013G060800 SapurV1A.2107s0020 S. purpurea one-to-many
Potri.013G060800 SapurV1A.0732s0010 S. purpurea one-to-many
Potri.007G084900 SapurV1A.0290s0060 S. purpurea many-to-one
Potri.007G084500 SapurV1A.0290s0060 S. purpurea many-to-one
Potri.010G188100 SapurV1A.0061s0320 S. purpurea one-to-one
Potri.002G184700 SapurV1A.0003s0080 S. purpurea one-to-one
Potri.014G145800 SapurV1A.0542s0140 S. purpurea one-to-one
Potri.017G075500 SapurV1A.2569s0010 S. purpurea one-to-one
Potri.006G141900 SapurV1A.0622s0090 S. purpurea one-to-one
Potri.018G129700 SapurV1A.0034s0480 S. purpurea one-to-one
Potri.011G023000 SapurV1A.5588s0010 S. purpurea one-to-one
Potri.005G209100 SapurV1A.0076s0400 S. purpurea one-to-one
Potri.001G124500 SapurV1A.0324s0200 S. purpurea one-to-one
Potri.007G040900 SapurV1A.0811s0130 S. purpurea one-to-one
Potri.007G021600 SapurV1A.0744s0180 S. purpurea one-to-one
Potri.001G452800 SapurV1A.0285s0100 S. purpurea one-to-one
Potri.001G235300 SapurV1A.0008s0920 S. purpurea one-to-one
Potri.001G325100 SapurV1A.0123s0250 S. purpurea one-to-one
Potri.004G018200 SapurV1A.0660s0020 S. purpurea one-to-many
Potri.004G018200 SapurV1A.1549s0110 S. purpurea one-to-many
Potri.006G189000 SapurV1A.0100s0310 S. purpurea one-to-one
Potri.009G103100 SapurV1A.0090s0770 S. purpurea one-to-one
Potri.009G166200 SapurV1A.0374s0220 S. purpurea one-to-one
Potri.009G153100 SapurV1A.0993s0120 S. purpurea one-to-one
Potri.006G219400 SapurV1A.0057s0170 S. purpurea one-to-one
Potri.006G047500 SapurV1A.0464s0020 S. purpurea one-to-one
Potri.004G168500 SapurV1A.0117s0330 S. purpurea one-to-one
Potri.002G002200 SapurV1A.0554s0100 S. purpurea one-to-one
Potri.001G088100 SapurV1A.0035s0190 S. purpurea one-to-one
Potri.001G342700 SapurV1A.0750s0170 S. purpurea one-to-one
Potri.012G134000 SapurV1A.0400s0170 S. purpurea one-to-one
Potri.006G185200 SapurV1A.0100s0070 S. purpurea one-to-one
Potri.012G120400 SapurV1A.0579s0200 S. purpurea one-to-one
Potri.019G121200 SapurV1A.1427s0060 S. purpurea many-to-many
Potri.019G121200 SapurV1A.0433s0050 S. purpurea many-to-many
Potri.019G123100 SapurV1A.1427s0060 S. purpurea many-to-many
Potri.019G123100 SapurV1A.0433s0050 S. purpurea many-to-many
Potri.009G012700 SapurV1A.0240s0020 S. purpurea one-to-many
Potri.009G012700 SapurV1A.1122s0080 S. purpurea one-to-many
Potri.019G121300 SapurV1A.0433s0060 S. purpurea many-to-one
Potri.019G123200 SapurV1A.0433s0060 S. purpurea many-to-one
Potri.009G133800 SapurV1A.0923s0030 S. purpurea one-to-one
Potri.010G052700 SapurV1A.0629s0150 S. purpurea one-to-one
Potri.011G077700 SapurV1A.0031s0320 S. purpurea one-to-one
Potri.006G129800 SapurV1A.0209s0100 S. purpurea one-to-one
Potri.006G027000 SapurV1A.0295s0060 S. purpurea one-to-one
Potri.009G076200 SapurV1A.0566s0120 S. purpurea one-to-one
Potri.002G013500 SapurV1A.0016s0930 S. purpurea one-to-one
Potri.002G245400 SapurV1A.0135s0510 S. purpurea one-to-one
Potri.014G061400 SapurV1A.0248s0340 S. purpurea one-to-one
Potri.018G003900 SapurV1A.1363s0030 S. purpurea one-to-one
Potri.015G092800 SapurV1A.0420s0280 S. purpurea one-to-one
Potri.013G079900 SapurV1A.0182s0100 S. purpurea one-to-one
Potri.005G026700 SapurV1A.0186s0030 S. purpurea one-to-one
Potri.014G175900 SapurV1A.0137s0310 S. purpurea one-to-one
Potri.012G100400 SapurV1A.1754s0010 S. purpurea one-to-one
Potri.001G344000 SapurV1A.2128s0010 S. purpurea one-to-many
Potri.001G344000 SapurV1A.0716s0040 S. purpurea one-to-many
Potri.005G072700 SapurV1A.0565s0040 S. purpurea many-to-one
Potri.005G162600 SapurV1A.0565s0040 S. purpurea many-to-one
Potri.016G019800 SapurV1A.0154s0060 S. purpurea one-to-one
Potri.002G143900 SapurV1A.0033s0450 S. purpurea one-to-one
Potri.002G195400 SapurV1A.0158s0170 S. purpurea one-to-one
Potri.002G142900 SapurV1A.0033s0360 S. purpurea one-to-one
Potri.019G037600 SapurV1A.0822s0130 S. purpurea one-to-one
Potri.014G035100 SapurV1A.0525s0230 S. purpurea one-to-one
Potri.014G104000 SapurV1A.0162s0130 S. purpurea one-to-one
Potri.017G128900 SapurV1A.0390s0200 S. purpurea one-to-one
Potri.018G066300 SapurV1A.0087s0150 S. purpurea one-to-one
Potri.011G022500 SapurV1A.0345s0040 S. purpurea one-to-one
Potri.015G045900 SapurV1A.0530s0040 S. purpurea one-to-one
Potri.018G088100 SapurV1A.0724s0110 S. purpurea one-to-many
Potri.018G088100 SapurV1A.0724s0120 S. purpurea one-to-many
Potri.018G088100 SapurV1A.1893s0020 S. purpurea one-to-many
Potri.018G088100 SapurV1A.1893s0010 S. purpurea one-to-many
Potri.012G041700 SapurV1A.1192s0040 S. purpurea one-to-one
Potri.005G066200 SapurV1A.0465s0190 S. purpurea one-to-one
Potri.001G157100 SapurV1A.0210s0020 S. purpurea one-to-one
Potri.007G069400 SapurV1A.1053s0020 S. purpurea one-to-one
Potri.001G312100 SapurV1A.0231s0100 S. purpurea one-to-one
Potri.010G183700 SapurV1A.1286s0030 S. purpurea one-to-many
Potri.010G183700 SapurV1A.2268s0010 S. purpurea one-to-many
Potri.016G116900 SapurV1A.1682s0030 S. purpurea one-to-many
Potri.016G116900 SapurV1A.0541s0010 S. purpurea one-to-many
Potri.005G039500 SapurV1A.1055s0170 S. purpurea one-to-many
Potri.005G039500 SapurV1A.1124s0160 S. purpurea one-to-many
Potri.007G128900 SapurV1A.1078s0010 S. purpurea one-to-many
Potri.007G128900 SapurV1A.0834s0160 S. purpurea one-to-many
Potri.012G015000 SapurV1A.0174s0080 S. purpurea one-to-many
Potri.012G015000 SapurV1A.0174s0090 S. purpurea one-to-many
Potri.016G055400 SapurV1A.0037s0130 S. purpurea one-to-one
Potri.011G101800 SapurV1A.0026s0340 S. purpurea one-to-one
Potri.006G103900 SapurV1A.0001s0330 S. purpurea one-to-one
Potri.002G162800 SapurV1A.0099s0400 S. purpurea one-to-one
Potri.004G231000 SapurV1A.0198s0440 S. purpurea one-to-one
Potri.002G114600 SapurV1A.0004s0290 S. purpurea one-to-one
Potri.014G040400 SapurV1A.0715s0070 S. purpurea one-to-one
Potri.017G000200 SapurV1A.0368s0390 S. purpurea one-to-one
Potri.005G194600 SapurV1A.0327s0260 S. purpurea one-to-one
Potri.001G413500 SapurV1A.1346s0020 S. purpurea one-to-one
Potri.003G086900 SapurV1A.0885s0110 S. purpurea one-to-one
Potri.004G179000 SapurV1A.1154s0080 S. purpurea one-to-one
Potri.016G036900 SapurV1A.0259s0270 S. purpurea one-to-one
Potri.002G235900 SapurV1A.0071s0360 S. purpurea one-to-one
Potri.013G109000 SapurV1A.0277s0100 S. purpurea one-to-one
Potri.013G095400 SapurV1A.0109s0060 S. purpurea one-to-one
Potri.001G078500 SapurV1A.1065s0130 S. purpurea one-to-one
Potri.001G191000 SapurV1A.0408s0030 S. purpurea one-to-one
Potri.004G208900 SapurV1A.0216s0430 S. purpurea one-to-many
Potri.004G208900 SapurV1A.2929s0030 S. purpurea one-to-many
Potri.004G182400 SapurV1A.0080s0460 S. purpurea many-to-one
Potri.T150300 SapurV1A.0080s0460 S. purpurea many-to-one
Potri.007G012900 SapurV1A.0166s0280 S. purpurea one-to-many
Potri.007G012900 SapurV1A.0166s0290 S. purpurea one-to-many
Potri.007G035500 SapurV1A.1540s0010 S. purpurea one-to-many
Potri.007G035500 SapurV1A.0393s0150 S. purpurea one-to-many
Potri.006G237600 SapurV1A.0272s0180 S. purpurea one-to-one
Potri.006G206700 SapurV1A.0510s0070 S. purpurea one-to-one
Potri.019G004000 SapurV1A.1086s0040 S. purpurea one-to-one
Potri.014G119800 SapurV1A.0180s0230 S. purpurea one-to-one
Potri.018G043600 SapurV1A.1484s0010 S. purpurea one-to-one
Potri.017G075300 SapurV1A.2569s0020 S. purpurea one-to-one
Potri.011G006700 SapurV1A.0429s0120 S. purpurea one-to-one
Potri.006G140400 SapurV1A.1712s0050 S. purpurea one-to-one
Potri.003G077000 SapurV1A.0104s0420 S. purpurea one-to-one
Potri.015G101700 SapurV1A.0614s0160 S. purpurea one-to-one
Potri.008G175200 SapurV1A.0021s0200 S. purpurea one-to-one
Potri.008G076800 SapurV1A.0164s0320 S. purpurea one-to-one
Potri.001G053500 SapurV1A.0802s0090 S. purpurea one-to-one
Potri.017G106500 SapurV1A.0191s0350 S. purpurea one-to-one
Potri.001G060900 SapurV1A.0453s0180 S. purpurea one-to-one
Potri.007G057100 SapurV1A.0515s0060 S. purpurea one-to-one
Potri.004G174200 SapurV1A.1145s0050 S. purpurea one-to-many
Potri.004G174200 SapurV1A.2094s0020 S. purpurea one-to-many
Potri.004G174200 SapurV1A.0117s0010 S. purpurea one-to-many
Potri.002G206900 SapurV1A.2926s0020 S. purpurea many-to-many
Potri.002G206900 SapurV1A.0155s0170 S. purpurea many-to-many
Potri.T035900 SapurV1A.2926s0020 S. purpurea many-to-many
Potri.T035900 SapurV1A.0155s0170 S. purpurea many-to-many
Potri.017G125800 SapurV1A.0230s0270 S. purpurea one-to-many
Potri.017G125800 SapurV1A.0230s0260 S. purpurea one-to-many
Potri.018G145900 SapurV1A.2095s0010 S. purpurea one-to-many
Potri.018G145900 SapurV1A.0870s0220 S. purpurea one-to-many
Potri.008G069200 SapurV1A.0825s0010 S. purpurea one-to-many
Potri.008G069200 SapurV1A.0999s0010 S. purpurea one-to-many
Potri.009G143300 SapurV1A.0219s0010 S. purpurea one-to-one
Potri.009G045400 SapurV1A.1613s0030 S. purpurea one-to-one
Potri.010G024700 SapurV1A.0152s0270 S. purpurea one-to-one
Potri.015G109800 SapurV1A.0593s0190 S. purpurea one-to-one
Potri.011G067300 SapurV1A.0536s0080 S. purpurea one-to-one
Potri.002G071000 SapurV1A.0267s0050 S. purpurea one-to-one
Potri.002G052400 SapurV1A.0289s0410 S. purpurea one-to-one
Potri.014G102600 SapurV1A.0162s0020 S. purpurea one-to-one
Potri.017G089300 SapurV1A.0322s0230 S. purpurea one-to-one
Potri.015G043400 SapurV1A.0475s0030 S. purpurea one-to-one
Potri.015G088400 SapurV1A.0486s0130 S. purpurea one-to-one
Potri.016G114700 SapurV1A.0642s0070 S. purpurea one-to-one
Potri.001G331800 SapurV1A.0278s0060 S. purpurea one-to-one
Potri.017G049100 SapurV1A.1595s0030 S. purpurea many-to-one
Potri.017G049200 SapurV1A.1595s0030 S. purpurea many-to-one
Potri.017G049700 SapurV1A.1595s0030 S. purpurea many-to-one
Potri.019G129100 SapurV1A.0215s0210 S. purpurea one-to-one
Potri.001G020100 SapurV1A.0445s0200 S. purpurea many-to-one
Potri.001G019900 SapurV1A.0445s0200 S. purpurea many-to-one
Potri.001G020000 SapurV1A.0445s0200 S. purpurea many-to-one
Potri.004G060900 SapurV1A.0029s0340 S. purpurea many-to-one
Potri.004G060400 SapurV1A.0029s0340 S. purpurea many-to-one
Potri.006G110800 SapurV1A.0803s0020 S. purpurea one-to-many
Potri.006G110800 SapurV1A.0356s0110 S. purpurea one-to-many
Potri.015G078000 SapurV1A.2163s0010 S. purpurea one-to-many
Potri.015G078000 SapurV1A.0011s0160 S. purpurea one-to-many
Potri.001G124800 SapurV1A.4266s0010 S. purpurea one-to-many
Potri.001G124800 SapurV1A.0324s0230 S. purpurea one-to-many
Potri.005G016600 SapurV1A.0819s0080 S. purpurea many-to-one
Potri.005G013600 SapurV1A.0819s0080 S. purpurea many-to-one
Potri.010G070100 SapurV1A.0007s1140 S. purpurea one-to-one
Potri.006G010500 SapurV1A.0788s0010 S. purpurea one-to-one
Potri.006G087300 SapurV1A.0001s1620 S. purpurea one-to-one
Potri.006G099600 SapurV1A.0001s0660 S. purpurea one-to-one
Potri.010G104500 SapurV1A.0055s0290 S. purpurea one-to-one
Potri.002G185100 SapurV1A.0003s0020 S. purpurea one-to-one
Potri.002G126000 SapurV1A.0017s0050 S. purpurea one-to-one
Potri.014G079500 SapurV1A.0533s0090 S. purpurea one-to-one
Potri.019G119400 SapurV1A.0417s0080 S. purpurea one-to-one
Potri.014G162900 SapurV1A.0054s0090 S. purpurea one-to-one
Potri.003G107800 SapurV1A.0667s0110 S. purpurea one-to-one
Potri.015G135000 SapurV1A.0068s0670 S. purpurea one-to-one
Potri.016G079600 SapurV1A.1220s0060 S. purpurea one-to-one
Potri.005G092600 SapurV1A.0404s0080 S. purpurea one-to-one
Potri.005G092400 SapurV1A.0404s0060 S. purpurea one-to-one
Potri.016G110800 SapurV1A.1036s0030 S. purpurea one-to-one
Potri.001G003700 SapurV1A.0699s0070 S. purpurea one-to-one
Potri.001G416600 SapurV1A.0712s0010 S. purpurea one-to-one
Potri.012G072700 SapurV1A.0138s0100 S. purpurea one-to-one
Potri.015G048800 SapurV1A.0178s0080 S. purpurea one-to-many
Potri.015G048800 SapurV1A.0582s0100 S. purpurea one-to-many
Potri.019G099800 SapurV1A.0685s0030 S. purpurea one-to-many
Potri.019G099800 SapurV1A.0685s0040 S. purpurea one-to-many
Potri.009G096400 SapurV1A.0708s0090 S. purpurea one-to-one
Potri.006G212900 SapurV1A.1255s0110 S. purpurea one-to-one
Potri.006G250200 SapurV1A.0648s0010 S. purpurea one-to-one
Potri.004G053800 SapurV1A.0029s0810 S. purpurea one-to-one
Potri.018G063200 SapurV1A.0121s0010 S. purpurea one-to-one
Potri.005G098100 SapurV1A.0085s0420 S. purpurea one-to-one
Potri.008G071300 SapurV1A.0650s0110 S. purpurea one-to-one
Potri.008G169900 SapurV1A.0021s0620 S. purpurea one-to-one
Potri.005G219800 SapurV1A.0378s0040 S. purpurea one-to-one
Potri.001G075700 SapurV1A.0236s0130 S. purpurea one-to-one
Potri.001G105600 SapurV1A.0775s0080 S. purpurea one-to-one
Potri.001G261000 SapurV1A.0276s0240 S. purpurea one-to-one
Potri.012G058300 SapurV1A.0789s0100 S. purpurea one-to-one
Potri.007G037000 SapurV1A.2038s0020 S. purpurea many-to-one
Potri.007G037100 SapurV1A.2038s0020 S. purpurea many-to-one
Potri.007G037200 SapurV1A.2038s0020 S. purpurea many-to-one
Potri.016G076100 SapurV1A.0630s0010 S. purpurea one-to-many
Potri.016G076100 SapurV1A.0974s0010 S. purpurea one-to-many
Potri.008G019400 SapurV1A.0371s0010 S. purpurea one-to-many
Potri.008G019400 SapurV1A.2041s0010 S. purpurea one-to-many
Potri.005G026200 SapurV1A.0186s0100 S. purpurea one-to-one
Potri.010G229800 SapurV1A.0213s0320 S. purpurea one-to-one
Potri.010G162300 SapurV1A.0480s0080 S. purpurea one-to-one
Potri.004G051800 SapurV1A.0012s0900 S. purpurea one-to-one
Potri.004G137200 SapurV1A.0591s0040 S. purpurea one-to-one
Potri.004G052200 SapurV1A.0012s0930 S. purpurea one-to-one
Potri.014G074100 SapurV1A.0578s0120 S. purpurea one-to-one
Potri.014G119900 SapurV1A.0180s0240 S. purpurea one-to-one
Potri.018G112900 SapurV1A.0626s0100 S. purpurea one-to-one
Potri.003G174000 SapurV1A.0056s0390 S. purpurea one-to-one
Potri.003G082700 SapurV1A.0107s0260 S. purpurea one-to-one
Potri.006G051700 SapurV1A.0981s0040 S. purpurea one-to-many
Potri.006G051700 SapurV1A.0228s0360 S. purpurea one-to-many
Potri.015G093200 SapurV1A.0420s0320 S. purpurea one-to-one
Potri.016G115300 SapurV1A.0431s0100 S. purpurea one-to-one
Potri.008G121100 SapurV1A.0079s0110 S. purpurea one-to-one
Potri.008G008000 SapurV1A.0070s0930 S. purpurea one-to-one
Potri.005G225900 SapurV1A.0233s0100 S. purpurea one-to-one
Potri.005G112800 SapurV1A.0130s0430 S. purpurea one-to-one
Potri.015G030200 SapurV1A.0074s0150 S. purpurea many-to-many
Potri.015G030200 SapurV1A.2754s0020 S. purpurea many-to-many
Potri.012G038100 SapurV1A.0074s0150 S. purpurea many-to-many
Potri.012G038100 SapurV1A.2754s0020 S. purpurea many-to-many
Potri.016G024000 SapurV1A.0362s0080 S. purpurea one-to-many
Potri.016G024000 SapurV1A.2287s0010 S. purpurea one-to-many
Potri.012G095300 SapurV1A.4944s0010 S. purpurea one-to-many
Potri.012G095300 SapurV1A.0841s0030 S. purpurea one-to-many
Potri.009G074300 SapurV1A.0042s0340 S. purpurea one-to-one
Potri.004G189600 SapurV1A.0717s0120 S. purpurea one-to-one
Potri.016G138700 SapurV1A.0065s0640 S. purpurea one-to-one
Potri.010G112900 SapurV1A.0351s0090 S. purpurea one-to-one
Potri.011G148400 SapurV1A.0047s0730 S. purpurea one-to-one
Potri.006G139400 SapurV1A.0521s0100 S. purpurea one-to-one
